ID_Cliente,Nombre_Completo,Localidad,Mes,Actividad,Sexo,Edad,Estado,Cuota,Inscripcion,Metodo_Pago,Fecha_Alta
1001,Camila Castro,Mendoza Ciudad,2024-11,Musculacion,F,31,Activo,35000,20000,Tarjeta,02/11/2024
1001,Camila Castro,Mendoza Ciudad,2024-12,Musculacion,F,31,Activo,35000,0,Tarjeta,02/11/2024
1002,Camila Medina,Mendoza Ciudad,2024-04,Musculacion,M,70,Activo,35000,20000,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-05,Musculacion,M,70,Inactivo,0,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-06,Musculacion,M,70,Activo,35000,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-07,Musculacion,M,70,Inactivo,0,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-08,Musculacion,M,70,Activo,35000,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-09,Musculacion,M,70,Activo,35000,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-10,Musculacion,M,70,Activo,35000,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-11,Musculacion,M,70,Activo,35000,0,Transferencia,18/04/2024
1002,Camila Medina,Mendoza Ciudad,2024-12,Musculacion,M,70,Activo,35000,0,Transferencia,18/04/2024
1003,Bruno Vega,Mendoza Ciudad,2024-02,Musculacion,M,43,Activo,35000,20000,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-03,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-04,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-05,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-06,Musculacion,M,43,Inactivo,0,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-07,Musculacion,M,43,Inactivo,0,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-08,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-09,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-10,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-11,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1003,Bruno Vega,Mendoza Ciudad,2024-12,Musculacion,M,43,Activo,35000,0,Efectivo,03/02/2024
1004,Florencia Perez,Guaymallen,2024-11,Funcional,M,53,Activo,35000,20000,Tarjeta,25/11/2024
1004,Florencia Perez,Guaymallen,2024-12,Funcional,M,53,Activo,35000,0,Tarjeta,25/11/2024
1005,Bruno Gimenez,Mendoza Ciudad,2024-09,Funcional,F,31,Activo,35000,20000,Tarjeta,08/09/2024
1005,Bruno Gimenez,Mendoza Ciudad,2024-10,Funcional,F,31,Inactivo,0,0,Tarjeta,08/09/2024
1005,Bruno Gimenez,Mendoza Ciudad,2024-11,Funcional,F,31,Activo,35000,0,Tarjeta,08/09/2024
1005,Bruno Gimenez,Mendoza Ciudad,2024-12,Funcional,F,31,Activo,35000,0,Tarjeta,08/09/2024
1006,Tomas Perez,Mendoza Ciudad,2024-08,Funcional,M,46,Activo,35000,20000,Tarjeta,07/08/2024
1006,Tomas Perez,Mendoza Ciudad,2024-09,Funcional,M,46,Activo,35000,0,Tarjeta,07/08/2024
1006,Tomas Perez,Mendoza Ciudad,2024-10,Funcional,M,46,Activo,35000,0,Tarjeta,07/08/2024
1006,Tomas Perez,Mendoza Ciudad,2024-11,Funcional,M,46,Activo,35000,0,Tarjeta,07/08/2024
1006,Tomas Perez,Mendoza Ciudad,2024-12,Funcional,M,46,Activo,35000,0,Tarjeta,07/08/2024
1007,Sofia Medina,Mendoza Ciudad,2024-01,Defensa Personal,M,66,Activo,25000,20000,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-02,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-03,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-04,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-05,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-06,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-07,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-08,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-09,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-10,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-11,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1007,Sofia Medina,Mendoza Ciudad,2024-12,Defensa Personal,M,66,Activo,25000,0,Tarjeta,14/01/2024
1008,Diego Rodriguez,Mendoza Ciudad,2024-09,Musculacion,M,51,Activo,35000,20000,Tarjeta,05/09/2024
1008,Diego Rodriguez,Mendoza Ciudad,2024-10,Musculacion,M,51,Activo,35000,0,Tarjeta,05/09/2024
1008,Diego Rodriguez,Mendoza Ciudad,2024-11,Musculacion,M,51,Activo,35000,0,Tarjeta,05/09/2024
1008,Diego Rodriguez,Mendoza Ciudad,2024-12,Musculacion,M,51,Activo,35000,0,Tarjeta,05/09/2024
1009,Maria Castro,Maipu,2024-06,Musculacion,F,37,Activo,35000,20000,Tarjeta,22/06/2024
1009,Maria Castro,Maipu,2024-07,Musculacion,F,37,Inactivo,0,0,Tarjeta,22/06/2024
1009,Maria Castro,Maipu,2024-08,Musculacion,F,37,Inactivo,0,0,Tarjeta,22/06/2024
1009,Maria Castro,Maipu,2024-09,Musculacion,F,37,Activo,35000,0,Tarjeta,22/06/2024
1009,Maria Castro,Maipu,2024-10,Musculacion,F,37,Activo,35000,0,Tarjeta,22/06/2024
1009,Maria Castro,Maipu,2024-11,Musculacion,F,37,Activo,35000,0,Tarjeta,22/06/2024
1009,Maria Castro,Maipu,2024-12,Musculacion,F,37,Inactivo,0,0,Tarjeta,22/06/2024
1010,Juan Suarez,Maipu,2024-06,Musculacion,M,31,Activo,35000,20000,Transferencia,03/06/2024
1010,Juan Suarez,Maipu,2024-07,Musculacion,M,31,Inactivo,0,0,Transferencia,03/06/2024
1010,Juan Suarez,Maipu,2024-08,Musculacion,M,31,Inactivo,0,0,Transferencia,03/06/2024
1010,Juan Suarez,Maipu,2024-09,Musculacion,M,31,Inactivo,0,0,Transferencia,03/06/2024
1010,Juan Suarez,Maipu,2024-10,Musculacion,M,31,Activo,35000,0,Transferencia,03/06/2024
1010,Juan Suarez,Maipu,2024-11,Musculacion,M,31,Activo,35000,0,Transferencia,03/06/2024
1010,Juan Suarez,Maipu,2024-12,Musculacion,M,31,Activo,35000,0,Transferencia,03/06/2024
1011,Julieta Medina,Guaymallen,2024-02,Musculacion,F,36,Activo,35000,20000,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-03,Musculacion,F,36,Activo,35000,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-04,Musculacion,F,36,Inactivo,0,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-05,Musculacion,F,36,Activo,35000,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-06,Musculacion,F,36,Inactivo,0,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-07,Musculacion,F,36,Inactivo,0,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-08,Musculacion,F,36,Inactivo,0,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-09,Musculacion,F,36,Inactivo,0,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-10,Musculacion,F,36,Activo,35000,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-11,Musculacion,F,36,Activo,35000,0,Transferencia,27/02/2024
1011,Julieta Medina,Guaymallen,2024-12,Musculacion,F,36,Activo,35000,0,Transferencia,27/02/2024
1012,Tomas Perez,Mendoza Ciudad,2024-07,Yoga,F,18,Activo,25000,20000,Transferencia,05/07/2024
1012,Tomas Perez,Mendoza Ciudad,2024-08,Yoga,F,18,Inactivo,0,0,Transferencia,05/07/2024
1012,Tomas Perez,Mendoza Ciudad,2024-09,Yoga,F,18,Activo,25000,0,Transferencia,05/07/2024
1012,Tomas Perez,Mendoza Ciudad,2024-10,Yoga,F,18,Activo,25000,0,Transferencia,05/07/2024
1012,Tomas Perez,Mendoza Ciudad,2024-11,Yoga,F,18,Activo,25000,0,Transferencia,05/07/2024
1012,Tomas Perez,Mendoza Ciudad,2024-12,Yoga,F,18,Activo,25000,0,Transferencia,05/07/2024
1013,Tomas Torres,Maipu,2024-07,Spinning,F,24,Activo,25000,20000,Efectivo,26/07/2024
1013,Tomas Torres,Maipu,2024-08,Spinning,F,24,Activo,25000,0,Efectivo,26/07/2024
1013,Tomas Torres,Maipu,2024-09,Spinning,F,24,Activo,25000,0,Efectivo,26/07/2024
1013,Tomas Torres,Maipu,2024-10,Spinning,F,24,Activo,25000,0,Efectivo,26/07/2024
1013,Tomas Torres,Maipu,2024-11,Spinning,F,24,Activo,25000,0,Efectivo,26/07/2024
1013,Tomas Torres,Maipu,2024-12,Spinning,F,24,Activo,25000,0,Efectivo,26/07/2024
1014,Bruno Lopez,Maipu,2024-11,Yoga,M,42,Activo,25000,20000,Efectivo,26/11/2024
1014,Bruno Lopez,Maipu,2024-12,Yoga,M,42,Inactivo,0,0,Efectivo,26/11/2024
1015,Juan Gomez,Mendoza Ciudad,2024-04,Funcional,F,19,Activo,35000,20000,Tarjeta,11/04/2024
1015,Juan Gomez,Mendoza Ciudad,2024-05,Funcional,F,19,Activo,35000,0,Tarjeta,11/04/2024
1015,Juan Gomez,Mendoza Ciudad,2024-06,Funcional,F,19,Activo,35000,0,Tarjeta,11/04/2024
1015,Juan Gomez,Mendoza Ciudad,2024-07,Funcional,F,19,Activo,35000,0,Tarjeta,11/04/2024
1015,Juan Gomez,Mendoza Ciudad,2024-08,Funcional,F,19,Activo,35000,0,Tarjeta,11/04/2024
